tf	n_corr	reg	n_reg	n_reg_corr	fi_OR	fi_logOR	fi_p	fi_logOR_plot	reg_lab
GABPA	13	any	1752	1	1.80063228036047	0.848503588536804	0.453528030556577	0.848503588536804	any
ZNF146	13	any	1199	3	12.9291979929289	3.69256088144235	0.00414198784577571	3.69256088144235	any
NR2F1	5	any	1630	0	0	-Inf	1	-3	any
EGR1	10	any	1223	1	2.63428801865661	1.39741309061008	0.341311635335972	1.39741309061008	any
FOXA3	3	any	670	0	0	-Inf	1	-3	any
GATA4	1	any	794	0	0	-Inf	1	-3	any
FOXA1	3	any	1422	0	0	-Inf	1	-3	any
LEF1	4	any	1550	0	0	-Inf	1	-3	any
SREBF1	1	any	1174	0	0	-Inf	1	-3	any
RELA	193	cure	388	1	0.446582843442123	-1.16300026727469	0.7298222310878	-1.16300026727469	curated
RELA	193	chip	487	6	2.22082129090494	1.1510933041418	0.0610472987809165	1.1510933041418	chip
RELA	193	motif	674	5	1.31221887339174	0.392008376374387	0.440624868687718	0.392008376374387	motif
RELA	193	expr	712	5	1.23988897518159	0.310210941478214	0.607948405937315	0.310210941478214	expr
IRF1	58	cure	62	1	8.63516816458713	3.11022427362606	0.112839167971011	3.11022427362606	curated
IRF1	58	chip	481	0	0	-Inf	1	-3	chip
IRF1	58	motif	474	2	2.24217876984901	1.16490130940681	0.232105310207746	1.16490130940681	motif
IRF1	58	expr	298	2	3.59872880885976	1.84748738849369	0.112593865166315	1.84748738849369	expr
BATF	50	cure	1	0	0	-Inf	1	-3	curated
BATF	50	chip	475	2	2.66432039458062	1.41376758236373	0.181282569623082	1.41376758236373	chip
BATF	50	motif	419	0	0	-Inf	1	-3	motif
BATF	50	expr	627	2	2.00487976914604	1.00351572213771	0.272555355722528	1.00351572213771	expr
NFIC	96	cure	123	0	0	-Inf	1	-3	curated
NFIC	96	chip	482	4	2.79868526790289	1.48474925469717	0.0614964955565305	1.48474925469717	chip
NFIC	96	motif	824	2	0.783370192994366	-0.352233859676716	1	-0.352233859676716	motif
NFIC	96	expr	549	5	3.10550424880687	1.63482754161441	0.0272044363258551	1.63482754161441	expr
ESRRA	63	cure	13	0	0	-Inf	1	-3	curated
ESRRA	63	chip	470	1	1.02574839961774	0.0366769033258887	0.626560922708859	0.0366769033258887	chip
ESRRA	63	motif	766	3	1.94101616074025	0.95681212986134	0.212303946061634	0.95681212986134	motif
ESRRA	63	expr	1099	3	1.3340956373811	0.415862092781706	0.497658546832945	0.415862092781706	expr
STAT3	152	cure	231	1	0.926193831961753	-0.110613945519931	1	-0.110613945519931	curated
STAT3	152	chip	486	2	0.87890280562454	-0.186224462620482	1	-0.186224462620482	chip
STAT3	152	motif	661	8	2.72039570740801	1.44381652044357	0.0125255598444106	1.44381652044357	motif
STAT3	152	expr	932	4	0.916127469129944	-0.126379747343234	1	-0.126379747343234	expr
ZBTB48	38	cure	0	0	0	-Inf	1	-3	curated
ZBTB48	38	chip	0	0	0	-Inf	1	-3	chip
ZBTB48	38	motif	0	0	0	-Inf	1	-3	motif
ZBTB48	38	expr	714	3	4.25853480899553	2.09035714233013	0.0404803411341898	2.09035714233013	expr
CUX1	56	cure	10	0	0	-Inf	1	-3	curated
CUX1	56	chip	486	0	0	-Inf	1	-3	chip
CUX1	56	motif	808	3	2.16397493610466	1.11368378947577	0.173315538847193	1.11368378947577	motif
CUX1	56	expr	376	0	0	-Inf	1	-3	expr
IRF3	138	cure	20	0	0	-Inf	1	-3	curated
IRF3	138	chip	422	1	0.532316955806316	-0.909642573959132	1	-0.909642573959132	chip
IRF3	138	motif	588	3	1.16179526188906	0.216355851287971	0.746445233407072	0.216355851287971	motif
IRF3	138	expr	1229	13	2.58657722241423	1.37104426392945	0.00303649286216497	1.37104426392945	expr
POU5F1	24	cure	27	0	0	-Inf	1	-3	curated
POU5F1	24	chip	493	0	0	-Inf	1	-3	chip
POU5F1	24	motif	783	1	2.2323657942287	1.15857344575161	0.375795516449138	1.15857344575161	motif
POU5F1	24	expr	150	0	0	-Inf	1	-3	expr
MITF	60	cure	39	0	0	-Inf	1	-3	curated
MITF	60	chip	487	3	3.34528541949468	1.742129306748	0.0674868025472041	1.742129306748	chip
MITF	60	motif	404	1	1.2907441767524	0.368203089333523	0.543957911109331	0.368203089333523	motif
MITF	60	expr	532	3	3.05551074126099	1.61141355264555	0.0829700206400752	1.61141355264555	expr
SP1	91	cure	737	3	1.44554572818499	0.531614247543591	0.469797487860343	0.531614247543591	curated
SP1	91	chip	496	1	0.702080792159262	-0.510291036236796	1	-0.510291036236796	chip
SP1	91	motif	585	5	3.1518892232494	1.65621683051853	0.0259613780732287	1.65621683051853	motif
SP1	91	expr	453	1	0.770121658934005	-0.376841723266151	1	-0.376841723266151	expr
USF2	15	cure	98	0	0	-Inf	1	-3	curated
USF2	15	chip	480	1	6.14477337565023	2.61935980378678	0.16432419719122	2.61935980378678	chip
USF2	15	motif	447	0	0	-Inf	1	-3	motif
USF2	15	expr	842	0	0	-Inf	1	-3	expr
HIC1	82	cure	12	0	0	-Inf	1	-3	curated
HIC1	82	chip	0	0	0	-Inf	1	-3	chip
HIC1	82	motif	808	2	0.966965339319787	-0.048463917375166	1	-0.048463917375166	motif
HIC1	82	expr	643	1	0.601826753329293	-0.732579853889756	1	-0.732579853889756	expr
KLF9	46	cure	4	0	0	-Inf	1	-3	curated
KLF9	46	chip	492	1	1.41778683771409	0.503640641681911	0.512351816769478	0.503640641681911	chip
KLF9	46	motif	747	1	0.924194669390415	-0.113731326597146	1	-0.113731326597146	motif
KLF9	46	expr	423	3	5.26274317750175	2.39581499285746	0.023040189634057	2.39581499285746	expr
RUNX1	35	cure	45	0	0	-Inf	1	-3	curated
RUNX1	35	chip	494	1	1.78897105580242	0.839130045864882	0.436226234642179	0.839130045864882	chip
RUNX1	35	motif	591	1	1.48937541545969	0.574707448853853	0.496861435582799	0.574707448853853	motif
RUNX1	35	expr	776	1	1.12592929391871	0.171116231933513	0.595487128902189	0.171116231933513	expr
ZNF324	36	cure	0	0	0	-Inf	1	-3	curated
ZNF324	36	chip	0	0	0	-Inf	1	-3	chip
ZNF324	36	motif	424	0	0	-Inf	1	-3	motif
ZNF324	36	expr	293	0	0	-Inf	1	-3	expr
NFIA	10	cure	7	0	0	-Inf	1	-3	curated
NFIA	10	chip	0	0	0	-Inf	1	-3	chip
NFIA	10	motif	825	0	0	-Inf	1	-3	motif
NFIA	10	expr	609	0	0	-Inf	1	-3	expr
PBX2	36	cure	6	0	0	-Inf	1	-3	curated
PBX2	36	chip	489	0	0	-Inf	1	-3	chip
PBX2	36	motif	797	1	1.36946679433012	0.453614285221063	0.527568921422891	0.453614285221063	motif
PBX2	36	expr	493	1	2.24123930922886	1.16429670141633	0.36946281937808	1.16429670141633	expr
REST	61	cure	33	0	0	-Inf	1	-3	curated
REST	61	chip	478	2	2.31587620899494	1.2115581387148	0.221862155582948	1.2115581387148	chip
REST	61	motif	486	1	1.11293368269698	0.154367628174318	0.597304919056464	0.154367628174318	motif
REST	61	expr	510	2	2.16742201881067	1.11598008798046	0.243788899338206	1.11598008798046	expr
VEZF1	104	cure	1	0	0	-Inf	1	-3	curated
VEZF1	104	chip	0	0	0	-Inf	1	-3	chip
VEZF1	104	motif	246	1	1.14469702548415	0.194965801229226	0.585531161987114	0.194965801229226	motif
VEZF1	104	expr	703	9	3.90422091940077	1.96503468976208	0.000906764942017837	1.96503468976208	expr
TCF7	58	cure	24	0	0	-Inf	1	-3	curated
TCF7	58	chip	471	0	0	-Inf	1	-3	chip
TCF7	58	motif	747	3	2.2957117040324	1.19894147943628	0.153762145758024	1.19894147943628	motif
TCF7	58	expr	333	3	5.25711207305277	2.39427049114224	0.0225917267437972	2.39427049114224	expr
SP2	42	cure	12	0	0	-Inf	1	-3	curated
SP2	42	chip	254	1	3.40386947309007	1.76717571559728	0.2612657031506	1.76717571559728	chip
SP2	42	motif	568	0	0	-Inf	1	-3	motif
SP2	42	expr	280	0	0	-Inf	1	-3	expr
BACH1	101	cure	2	0	0	-Inf	1	-3	curated
BACH1	101	chip	472	3	2.03673564894264	1.0262587428427	0.190913046614868	1.0262587428427	chip
BACH1	101	motif	430	3	2.24053316672893	1.16384208293817	0.157940779396104	1.16384208293817	motif
BACH1	101	expr	561	2	1.12185274750863	0.165883322666194	0.700121451740775	0.165883322666194	expr
HINFP	29	cure	1	0	0	-Inf	1	-3	curated
HINFP	29	chip	271	0	0	-Inf	1	-3	chip
HINFP	29	motif	743	0	0	-Inf	1	-3	motif
HINFP	29	expr	567	2	6.67452951999883	2.73866614645016	0.0435405689577107	2.73866614645016	expr
RXRB	61	cure	64	0	0	-Inf	1	-3	curated
RXRB	61	chip	0	0	0	-Inf	1	-3	chip
RXRB	61	motif	818	3	2.00284278086756	1.00204917693449	0.200855840733014	1.00204917693449	motif
RXRB	61	expr	714	2	1.50309422902096	0.587935454683418	0.392340913814767	0.587935454683418	expr
IRF9	13	cure	10	0	0	-Inf	1	-3	curated
IRF9	13	chip	446	1	5.4183644380222	2.43785743216031	0.181300581959013	2.43785743216031	chip
IRF9	13	motif	660	2	7.99713543486666	2.99948332075162	0.0335161497911847	2.99948332075162	motif
IRF9	13	expr	481	1	5.01661539067564	2.32671433510546	0.19416668777429	2.32671433510546	expr
E2F4	117	cure	350	4	3.40932417434432	1.76948578413125	0.0341517421111272	1.76948578413125	curated
E2F4	117	chip	412	3	2.13439800215615	1.09382922124123	0.173751500630814	1.09382922124123	chip
E2F4	117	motif	624	3	1.39449958087519	0.479747500756062	0.481303807538593	0.479747500756062	motif
E2F4	117	expr	1323	10	2.31901096127471	1.21350963919016	0.0256151848458605	1.21350963919016	expr
RBPJ	29	cure	35	0	0	-Inf	1	-3	curated
RBPJ	29	chip	472	0	0	-Inf	1	-3	chip
RBPJ	29	motif	748	2	3.34643658022459	1.74262567342096	0.132598587978138	1.74262567342096	motif
RBPJ	29	expr	597	0	0	-Inf	1	-3	expr
NFE2L2	64	cure	43	0	0	-Inf	1	-3	curated
NFE2L2	64	chip	492	1	1.14593862822923	0.196529781337199	0.586889234808938	0.196529781337199	chip
NFE2L2	64	motif	601	0	0	-Inf	0.628799450026638	-3	motif
NFE2L2	64	expr	645	0	0	-Inf	0.631706529456595	-3	expr
SMAD2	29	cure	32	0	0	-Inf	1	-3	curated
SMAD2	29	chip	414	1	2.57070532409107	1.36216424578518	0.331141380989665	1.36216424578518	chip
SMAD2	29	motif	420	0	0	-Inf	1	-3	motif
SMAD2	29	expr	840	0	0	-Inf	1	-3	expr
STAT5A	160	cure	67	0	0	-Inf	1	-3	curated
STAT5A	160	chip	478	3	1.27157992751401	0.346622148149898	0.515145810695617	0.346622148149898	chip
STAT5A	160	motif	417	3	1.46227244775277	0.548212136463091	0.466077284657463	0.548212136463091	motif
STAT5A	160	expr	711	6	1.73831380185805	0.797688542174889	0.1710118657524	0.797688542174889	expr
CREB1	7	cure	279	0	0	-Inf	1	-3	curated
CREB1	7	chip	498	0	0	-Inf	1	-3	chip
CREB1	7	motif	383	0	0	-Inf	1	-3	motif
CREB1	7	expr	654	0	0	-Inf	1	-3	expr
IRF2	92	cure	14	0	0	-Inf	1	-3	curated
IRF2	92	chip	494	0	0	-Inf	0.407859653606522	-3	chip
IRF2	92	motif	702	4	2.05738237565863	1.04080995147081	0.140787109837396	1.04080995147081	motif
IRF2	92	expr	332	4	4.43972270627461	2.15046957234671	0.0150791235675021	2.15046957234671	expr
BHLHE40	29	cure	0	0	0	-Inf	1	-3	curated
BHLHE40	29	chip	493	1	2.15163395893209	1.10543266406997	0.38099347073928	1.10543266406997	chip
BHLHE40	29	motif	481	0	0	-Inf	1	-3	motif
BHLHE40	29	expr	234	1	4.58692670946989	2.19752785602919	0.202725035206157	2.19752785602919	expr
MAFK	58	cure	1	0	0	-Inf	1	-3	curated
MAFK	58	chip	489	0	0	-Inf	1	-3	chip
MAFK	58	motif	517	0	0	-Inf	1	-3	motif
MAFK	58	expr	490	1	1.20194304315066	0.265368532229637	0.569882668965263	0.265368532229637	expr
NFATC3	74	cure	26	0	0	-Inf	1	-3	curated
NFATC3	74	chip	0	0	0	-Inf	1	-3	chip
NFATC3	74	motif	812	3	1.61379121156066	0.690453938262149	0.440207556130162	0.690453938262149	motif
NFATC3	74	expr	612	3	2.16018638197873	1.11115579422023	0.171719438432614	1.11115579422023	expr
NR2C1	58	cure	1	0	0	-Inf	1	-3	curated
NR2C1	58	chip	0	0	0	-Inf	1	-3	chip
NR2C1	58	motif	424	0	0	-Inf	1	-3	motif
NR2C1	58	expr	470	3	3.61684507157583	1.8547318011299	0.0563990980947294	1.8547318011299	expr
CTCF	88	cure	137	2	5.50905217811613	2.46180412722555	0.0545245822601116	2.46180412722555	curated
CTCF	88	chip	497	0	0	-Inf	0.648849288048851	-3	chip
CTCF	88	motif	486	2	1.51657953560287	0.600821160745417	0.38596226945787	0.600821160745417	motif
CTCF	88	expr	792	4	1.89424542906973	0.921623266583781	0.172496184061432	0.921623266583781	expr
THAP11	110	cure	0	0	0	-Inf	1	-3	curated
THAP11	110	chip	325	8	8.38247960581985	3.06737706801389	1.13166038403267e-05	3.06737706801389	chip
THAP11	110	motif	330	2	1.88368634568466	0.913558760493735	0.292451457711528	0.913558760493735	motif
THAP11	110	expr	542	1	0.559954990197575	-0.836617228482247	1	-0.836617228482247	expr
ELF1	108	cure	13	0	0	-Inf	1	-3	curated
ELF1	108	chip	496	1	0.567255563058465	-0.817929242452939	1	-0.817929242452939	chip
ELF1	108	motif	548	3	1.57616969605034	0.656422868849319	0.445848056320406	0.656422868849319	motif
ELF1	108	expr	771	6	2.30205817977201	1.20292429507218	0.0548794503835683	1.20292429507218	expr
RELB	131	cure	14	0	0	-Inf	1	-3	curated
RELB	131	chip	468	3	1.60737118977729	0.684703128647824	0.441312964233939	0.684703128647824	chip
RELB	131	motif	776	5	1.62770417891817	0.702838526147682	0.246572754049792	0.702838526147682	motif
RELB	131	expr	345	2	1.44578962431725	0.531857642168181	0.407100161635516	0.531857642168181	expr
MAX	78	cure	17	0	0	-Inf	1	-3	curated
MAX	78	chip	497	0	0	-Inf	0.6289416108749	-3	chip
MAX	78	motif	628	2	1.52773373444778	0.611393120948732	0.384021314371341	0.611393120948732	motif
MAX	78	expr	444	1	1.06753081191781	0.0942777106509249	0.61197356232626	0.0942777106509249	expr
HNF4A	1	cure	91	0	0	-Inf	1	-3	curated
HNF4A	1	chip	486	0	0	-Inf	1	-3	chip
HNF4A	1	motif	650	0	0	-Inf	1	-3	motif
HNF4A	1	expr	350	0	0	-Inf	1	-3	expr
GATA2	10	cure	69	0	0	-Inf	1	-3	curated
GATA2	10	chip	495	0	0	-Inf	1	-3	chip
GATA2	10	motif	763	0	0	-Inf	1	-3	motif
GATA2	10	expr	283	1	13.5129585071712	3.75627166565391	0.080895671323143	3.75627166565391	expr
MZF1	68	cure	8	0	0	-Inf	1	-3	curated
